,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
10994,GianSantiago,-5.48,616,19.93,-44.48,1.51,32.92
11008,giegie888,-4.71,3804,14.58,-6.19,0.71,22.07
11026,Gilder985,4.5,636,9.79,35.38,4.0,45.71
11050,Ginxss,37.75,12292,15.32,15.36,3.43,50.47
11081,Gitec350,35.05,11415,13.65,15.35,1.95,38.71
11099,GJStewart111,10.53,2231,12.83,23.6,1.9,38.85
11147,Gmaschington,-18.16,3209,18.07,-28.3,3.38,59.34
11157,gn4444,5.96,10092,15.39,2.95,0.87,23.62
11191,goddan666,15.24,2990,13.33,25.48,1.38,35.89
11224,GoIdYa,-2.73,881,18.97,-15.49,1.26,38.05
11269,Gomez224,43.33,13570,15.78,15.97,1.76,37.03
11308,Gooner.7.11,0.68,6301,14.06,0.54,2.72,45.89
11310,goosemen,0.86,2313,18.71,1.86,1.19,34.83
11336,Gorshok77,-0.16,560,15.29,-1.43,1.88,38.89
11339,Gorwind,-0.22,885,16.18,-1.24,5.69,47.44
11459,Gregg_K23,-11.66,570,19.12,-102.28,1.15,31.08
11468,gregoriov83,14.5,5211,19.37,13.91,3.28,53.29
11479,Grelex1303,17.89,3563,15.53,25.11,2.2,45.38
11511,grimpop_87,23.06,6991,14.75,16.49,2.13,37.37
11591,guachmp,1.48,904,17.22,8.19,3.31,51.56
11623,gufrip123,7.16,13298,16.65,2.69,2.49,42.87
