,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
414,2ndPWRR,0.16,6,50.0,133.33,,50.0
415,2nuts365,-0.16,56,37.5,-14.29,1.27,36.84
416,2pa2pac941,-1.32,12,75.0,-550.0,0.4,16.67
417,2pairdad,-0.99,43,39.53,-115.12,0.46,21.43
418,2Panama2aue,0.3,1765,28.26,0.85,1.69,43.05
419,2papa1948,0.26,48,47.92,27.08,2.0,43.75
420,2powwow,2.05,22,57.14,465.91,2.67,53.33
421,2rist_umka,0.39,136,47.41,14.34,2.1,48.84
422,2saint2025,0.35,3,100.0,583.33,,100.0
423,2SGTMG,-20.66,206,94.17,-501.46,1.12,38.73
424,2Vandoos2,-12.38,3529,22.26,-17.54,2.97,46.59
425,2weak2slow,-0.7,187,36.02,-18.72,1.6,43.01
426,2x2x3,-0.99,1,100.0,-4950.0,1.0,50.0
427,30005626,0.37,32,62.5,57.81,1.08,43.75
